path	v_on	t_on	v_off	t_off	class
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/calypto_problem_15.smt2	unsat	0.01	unsat	0.01	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere2_umulov1bw080.smt2	TO	60.02	TO	60.02	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/calypto_problem_24.smt2	sat	0.11	sat	0.11	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/crafted_bit-reversal.smt2	unsat	0.01	unsat	0.01	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/crafted_bitops3.smt2	unsat	0.01	unsat	0.01	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/crafted_bitops7.smt2	sat	0.01	sat	0.01	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere3_isqrtadd.smt2	TO	60.01	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/galois_iffyInterleavedModMult-4.smt2	unsat	0.09	unsat	0.09	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere4_unconstrained04.smt2	TO	27.32	TO	27.06	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere4_unconstrained05.smt2	TO	27.79	TO	28.89	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere4_unconstrained08.smt2	TO	26.45	TO	26.51	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere4_unconstrained10.smt2	TO	27.35	TO	26.75	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/brummayerbiere4_unconstrained06.smt2	TO	28.68	TO	26.76	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/log-slicing_bvsdiv_16.smt2	TO	8.69	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/sage_app1_bench_292.smt2	unsat	3.86	unsat	3.95	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/sage_app7_bench_5744.smt2	unsat	0.69	unsat	0.71	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/log-slicing_bvsrem_17.smt2	TO	12.56	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/spear_zebra_v0.95a_bgpd_bgpd_vc75772.smt2	sat	0.19	sat	0.19	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/spear_wget_v1.10.2_src_wget_vc18190.smt2	sat	1.81	sat	1.81	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/tacas07_s-40-50-bv.smt2	sat	0.99	sat	1.00	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/calypto_problem_16.smt2	TO	60.01	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/galois_iffyInterleavedModMult-32.smt2	TO	60.01	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/galois_iffyInterleavedModMult-8.smt2	TO	60.01	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/wienand-cav2008_Booth_mult_ub_8x8_1.sf.smt2	unsat	23.31	unsat	23.18	ARTIFACT
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/log-slicing_bvudiv_15.smt2	TO	60.17	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/log-slicing_bvudiv_17.smt2	TO	60.21	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/log-slicing_bvudiv_23.smt2	TO	60.24	TO	60.01	BOTH_TO
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/wienand-cav2008_Commute_commute08.sf.smt2	unsat	0.01	TO	60.01	NEEDS_ALGEBRA
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/wienand-cav2008_Commute_commute16.sf.smt2	unsat	0.01	TO	60.01	NEEDS_ALGEBRA
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/wienand-cav2008_Commute_commute32.sf.smt2	unsat	0.01	TO	60.03	NEEDS_ALGEBRA
/home/ubuntu/cbmc-github.git/bench-multiplication/smt-comp-sample/wienand-cav2008_Distrib_distrib08.sf.smt2	unsat	0.01	TO	60.01	NEEDS_ALGEBRA
