# n, phase1_bytes, v9_full_bytes, cut_v2_full_bytes, diag_full_bytes
3	1859	44885	13536	12530
4	9987	1459813	410622	331432
5	52225	44159875	8768189	5948757
6	266229	68591619	185044823	108929281
