repo,proof,backend,result,exit_code,wall_time_s,max_rss_kb
mldsa-native,keccak_squeezeblocks_x4,sat_cadical,OOM,6,121.06,29007776
mldsa-native,keccak_squeezeblocks_x4,sat_minisat,OOM,6,133.02,27603848
mldsa-native,keccak_squeezeblocks_x4,smt_afs,SUCCESS,0,57.28,249656
mldsa-native,keccak_squeezeblocks_x4,sat_cadical_afs,OOM,6,127.43,29904884
mldsa-native,keccakf1600_extract_bytes,smt,SUCCESS,0,0.25,43436
mldsa-native,keccakf1600_extract_bytes,sat_cadical,SUCCESS,0,0.3,56636
mldsa-native,keccakf1600_extract_bytes,sat_minisat,SUCCESS,0,0.28,36080
mldsa-native,keccakf1600_extract_bytes_BE,smt,SUCCESS,0,0.24,43176
mldsa-native,keccakf1600_extract_bytes_BE,sat_cadical,SUCCESS,0,0.29,54088
mldsa-native,keccakf1600_extract_bytes_BE,sat_minisat,SUCCESS,0,0.26,34188
mldsa-native,keccakf1600_permute,smt,SUCCESS,0,6.18,84776
mldsa-native,keccakf1600_permute,sat_cadical,SUCCESS,0,6.21,213332
mldsa-native,keccakf1600_permute,sat_minisat,SUCCESS,0,6.41,108848
mldsa-native,keccakf1600_permute_native,smt,SUCCESS,0,6.53,91488
mldsa-native,keccakf1600_permute_native,sat_cadical,SUCCESS,0,6.34,231668
mldsa-native,keccakf1600_permute_native,sat_minisat,SUCCESS,0,6.08,123856
mldsa-native,keccakf1600_xor_bytes,smt,SUCCESS,0,0.6,42152
mldsa-native,keccakf1600_xor_bytes,sat_cadical,SUCCESS,0,0.46,68484
mldsa-native,keccakf1600_xor_bytes,sat_minisat,SUCCESS,0,0.36,41760
mldsa-native,keccakf1600_xor_bytes_BE,smt,SUCCESS,0,0.24,28160
mldsa-native,keccakf1600_xor_bytes_BE,sat_cadical,SUCCESS,0,0.38,66540
mldsa-native,keccakf1600_xor_bytes_BE,sat_minisat,SUCCESS,0,0.29,39292
mldsa-native,keccakf1600x4_extract_bytes,smt,SUCCESS,0,0.45,37300
mldsa-native,keccakf1600x4_extract_bytes,sat_cadical,SUCCESS,0,0.53,117480
mldsa-native,keccakf1600x4_extract_bytes,sat_minisat,SUCCESS,0,0.4,52968
mldsa-native,keccakf1600x4_permute,smt,SUCCESS,0,0.25,30028
mldsa-native,keccakf1600x4_permute,sat_cadical,SUCCESS,0,0.25,30320
mldsa-native,keccakf1600x4_permute,sat_minisat,SUCCESS,0,0.25,30008
mldsa-native,keccakf1600x4_permute,smt_afs,SUCCESS,0,0.25,30040
mldsa-native,keccakf1600x4_permute,sat_cadical_afs,SUCCESS,0,0.25,30640
mldsa-native,keccakf1600x4_permute_native,smt,SUCCESS,0,11.85,163864
mldsa-native,keccakf1600x4_permute_native,sat_cadical,SUCCESS,0,12.13,360816
mldsa-native,keccakf1600x4_permute_native,sat_minisat,SUCCESS,0,12.74,267980
mldsa-native,keccakf1600x4_permute_native,smt_afs,SUCCESS,0,22.72,168092
mldsa-native,keccakf1600x4_permute_native,sat_cadical_afs,SUCCESS,0,22.76,364168
mldsa-native,keccakf1600x4_xor_bytes,smt,SUCCESS,0,0.49,37228
mldsa-native,keccakf1600x4_xor_bytes,sat_cadical,SUCCESS,0,0.77,125960
mldsa-native,keccakf1600x4_xor_bytes,sat_minisat,SUCCESS,0,0.42,56780
mldsa-native,make_hint,smt,SUCCESS,0,0.09,31772
mldsa-native,make_hint,sat_cadical,SUCCESS,0,0.07,25704
mldsa-native,make_hint,sat_minisat,SUCCESS,0,0.06,23684
mldsa-native,montgomery_reduce,smt,SUCCESS,0,0.55,54164
mldsa-native,montgomery_reduce,sat_cadical,SUCCESS,0,0.22,40672
mldsa-native,montgomery_reduce,sat_minisat,SUCCESS,0,0.14,28056
mldsa-native,ntt_butterfly_block,smt,SUCCESS,0,12.17,191732
mldsa-native,ntt_butterfly_block,sat_cadical,TIMEOUT,124,300.59,14062784
mldsa-native,ntt_butterfly_block,sat_minisat,TIMEOUT,124,300.28,3827764
mldsa-native,ntt_layer,smt,SUCCESS,0,46.95,228548
mldsa-native,ntt_layer,sat_cadical,TIMEOUT,124,300.79,18290708
mldsa-native,ntt_layer,sat_minisat,SUCCESS,0,206.99,5101808
mldsa-native,ntt_native_x86_64,smt,SUCCESS,0,0.55,73660
mldsa-native,ntt_native_x86_64,sat_cadical,SUCCESS,0,15.56,537856
mldsa-native,ntt_native_x86_64,sat_minisat,SUCCESS,0,5.86,196176
mldsa-native,pack_pk,smt,SUCCESS,0,0.32,38132
mldsa-native,pack_pk,sat_cadical,SUCCESS,0,10.93,695496
mldsa-native,pack_pk,sat_minisat,SUCCESS,0,5.05,256708
mldsa-native,pack_pk,smt_afs,SUCCESS,0,0.39,42648
mldsa-native,pack_pk,sat_cadical_afs,SUCCESS,0,10.81,695860
mldsa-native,pack_sig_c_h,smt,SUCCESS,0,0.61,49284
