benchmark	primary	secondary	time	result	vars	clauses	conflicts
comm_14	shift-add	none	60.004	T/O	774	3094	-
comm_14	shift-add	comba-cs	5.149	unsat	2130	8612	141231
comm_14	shift-add	comba	24.741	unsat	2428	9438	516745
comm_14	shift-add	dadda	60.004	T/O	1530	6250	-
comm_14	shift-add	booth	60.004	T/O	1918	7496	-
comm_14	shift-add	block4	8.274	unsat	2038	8078	219322
comm_14	comba-cs	none	3.387	unsat	1400	5534	110627
comm_14	comba-cs	shift-add	8.284	unsat	2130	8612	185213
comm_14	comba-cs	comba	4.405	unsat	3054	11878	114478
comm_14	comba-cs	dadda	6.847	unsat	2156	8690	169105
comm_14	comba-cs	booth	6.073	unsat	2544	9936	153691
comm_14	comba-cs	block4	4.638	unsat	2664	10518	110873
comm_14	booth	none	60.004	T/O	1188	4418	-
comm_14	booth	shift-add	60.004	T/O	1918	7496	-
comm_14	booth	comba-cs	4.969	unsat	2544	9936	118492
comm_14	booth	comba	52.119	unsat	2842	10762	1069555
comm_14	booth	dadda	60.004	T/O	1944	7574	-
comm_14	booth	block4	6.536	unsat	2452	9402	158865
comm_14	block4	none	3.600	unsat	1308	5000	124697
comm_14	block4	shift-add	8.913	unsat	2038	8078	258953
comm_14	block4	comba-cs	4.355	unsat	2664	10518	105524
comm_14	block4	comba	14.384	unsat	2962	11344	337775
comm_14	block4	dadda	11.972	unsat	2064	8156	274727
comm_14	block4	booth	4.566	unsat	2452	9402	121138
strength_chain_16	shift-add	none	1.030	unsat	714	2910	39757
strength_chain_16	shift-add	comba-cs	1.230	unsat	1117	4868	37632
strength_chain_16	shift-add	comba	1.471	unsat	1913	7703	38269
strength_chain_16	shift-add	dadda	.913	unsat	1159	4998	27576
strength_chain_16	shift-add	booth	.079	unsat	899	3742	3468
strength_chain_16	shift-add	block4	.447	unsat	1386	5804	15097
strength_chain_16	comba-cs	none	1.445	unsat	714	2906	43804
strength_chain_16	comba-cs	shift-add	1.042	unsat	1117	4868	34595
strength_chain_16	comba-cs	comba	1.403	unsat	1913	7699	35258
strength_chain_16	comba-cs	dadda	2.510	unsat	1159	4994	60836
strength_chain_16	comba-cs	booth	.069	unsat	899	3738	3271
strength_chain_16	comba-cs	block4	.412	unsat	1386	5800	14343
strength_chain_16	booth	none	.063	unsat	496	1780	4071
strength_chain_16	booth	shift-add	.044	unsat	899	3742	1743
strength_chain_16	booth	comba-cs	.037	unsat	899	3738	1432
strength_chain_16	booth	comba	.060	unsat	1695	6573	1827
strength_chain_16	booth	dadda	.099	unsat	941	3868	4642
strength_chain_16	booth	block4	.062	unsat	1168	4674	2532
strength_chain_16	block4	none	.397	unsat	983	3842	18590
strength_chain_16	block4	shift-add	.692	unsat	1386	5804	22500
strength_chain_16	block4	comba-cs	.387	unsat	1386	5800	14003
strength_chain_16	block4	comba	.868	unsat	2182	8635	25470
strength_chain_16	block4	dadda	.368	unsat	1428	5930	13148
strength_chain_16	block4	booth	.187	unsat	1168	4674	9150
strength_16_31	shift-add	none	.108	unsat	243	1024	6260
strength_16_31	shift-add	comba-cs	.104	unsat	401	1784	5212
strength_16_31	shift-add	comba	.156	unsat	708	2875	6171
strength_16_31	shift-add	dadda	.077	unsat	416	1833	3773
strength_16_31	shift-add	booth	.016	unsat	316	1342	464
strength_16_31	shift-add	block4	.093	unsat	497	2120	4736
strength_16_31	comba-cs	none	.078	unsat	243	1020	4885
strength_16_31	comba-cs	shift-add	.104	unsat	401	1784	5674
strength_16_31	comba-cs	comba	.112	unsat	708	2871	4995
strength_16_31	comba-cs	dadda	.075	unsat	416	1829	4197
strength_16_31	comba-cs	booth	.017	unsat	316	1338	544
strength_16_31	comba-cs	block4	.072	unsat	497	2116	3651
strength_16_31	booth	none	.013	unsat	158	578	386
strength_16_31	booth	shift-add	.017	unsat	316	1342	546
strength_16_31	booth	comba-cs	.017	unsat	316	1338	561
strength_16_31	booth	comba	.020	unsat	623	2429	546
strength_16_31	booth	dadda	.016	unsat	331	1387	473
strength_16_31	booth	block4	.017	unsat	412	1674	463
strength_16_31	block4	none	.061	unsat	339	1356	3919
strength_16_31	block4	shift-add	.069	unsat	497	2120	3536
strength_16_31	block4	comba-cs	.071	unsat	497	2116	3695
strength_16_31	block4	comba	.130	unsat	804	3207	5801
strength_16_31	block4	dadda	.072	unsat	512	2165	3852
strength_16_31	block4	booth	.019	unsat	412	1674	655
mul_ineq_12	shift-add	none	.520	unsat	2876	11717	16899
mul_ineq_12	shift-add	comba-cs	.741	unsat	7366	30181	15789
mul_ineq_12	shift-add	comba	.774	unsat	9042	35425	14545
mul_ineq_12	shift-add	dadda	.634	unsat	5684	23501	12768
mul_ineq_12	shift-add	booth	.947	unsat	7008	27685	17414
mul_ineq_12	shift-add	block4	.652	unsat	6946	27957	12854
mul_ineq_12	comba-cs	none	.520	unsat	2876	11717	16899
mul_ineq_12	comba-cs	shift-add	.614	unsat	5616	23297	14347
mul_ineq_12	comba-cs	comba	.769	unsat	9042	35425	14545
mul_ineq_12	comba-cs	dadda	.629	unsat	5684	23501	12768
mul_ineq_12	comba-cs	booth	.943	unsat	7008	27685	17414
mul_ineq_12	comba-cs	block4	.648	unsat	6946	27957	12854
mul_ineq_12	booth	none	1.503	unsat	4268	16105	43819
mul_ineq_12	booth	shift-add	1.041	unsat	7008	27685	18418
mul_ineq_12	booth	comba-cs	1.064	unsat	8758	34569	16636
mul_ineq_12	booth	comba	1.040	unsat	10434	39813	17148
mul_ineq_12	booth	dadda	.774	unsat	7076	27889	13240
mul_ineq_12	booth	block4	1.032	unsat	8338	32345	18931
mul_ineq_12	block4	none	.502	unsat	4206	16377	14717
mul_ineq_12	block4	shift-add	.677	unsat	6946	27957	14110
mul_ineq_12	block4	comba-cs	.806	unsat	8696	34841	15166
mul_ineq_12	block4	comba	.655	unsat	10372	40085	12338
mul_ineq_12	block4	dadda	.651	unsat	7014	28161	12884
mul_ineq_12	block4	booth	.956	unsat	8338	32345	16973
bf16_mul_comm_v2	shift-add	none	22.191	unsat	1743	6697	417623
bf16_mul_comm_v2	shift-add	comba-cs	22.244	unsat	1743	6697	417623
bf16_mul_comm_v2	shift-add	comba	22.202	unsat	1743	6697	417623
bf16_mul_comm_v2	shift-add	dadda	22.311	unsat	1743	6697	417623
bf16_mul_comm_v2	shift-add	booth	22.218	unsat	1743	6697	417623
