# Item 7 (expression normalisation) ablation on Martin's benchmarks.
# Same stratified random sample as martin-subpoly-results.md.
# Time in seconds; T/O = 10 s
benchmark	default	expr_norm
bitwidth-16-degree-17-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-20-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-28-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-3-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-13-seed-23-equality-original-native-encoding	0.04	0.04
bitwidth-32-degree-12-seed-23-equality-original-native-encoding	0.80	0.81
bitwidth-32-degree-13-seed-23-equality-original-native-encoding	0.90	0.90
bitwidth-32-degree-10-seed-23-equality-original-native-encoding	0.50	0.50
bitwidth-16-degree-24-seed-23-equality-original-native-encoding	2.42	2.43
bitwidth-16-degree-12-seed-23-equality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-31-seed-23-equality-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-8-seed-23-equality-original-subpolynomial-encoding	0.30	0.30
bitwidth-16-degree-21-seed-23-equality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-18-seed-23-equality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-25-seed-23-equality-reduced-native-encoding	0.24	0.25
bitwidth-8-degree-12-seed-23-equality-reduced-native-encoding	0.10	0.10
bitwidth-32-degree-19-seed-23-equality-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-13-seed-23-equality-reduced-native-encoding	0.90	0.90
bitwidth-32-degree-11-seed-23-equality-reduced-native-encoding	1.55	1.53
bitwidth-8-degree-8-seed-23-equality-reduced-subpolynomial-encoding	0.31	0.31
bitwidth-32-degree-22-seed-23-equality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-2-seed-23-equality-reduced-subpolynomial-encoding	5.61	5.56
bitwidth-32-degree-15-seed-23-equality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-14-seed-23-equality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-8-seed-23-identity-point-original-native-encoding	1.44	1.46
bitwidth-8-degree-5-seed-23-identity-point-original-native-encoding	0.00	0.00
bitwidth-32-degree-24-seed-23-identity-point-original-native-encoding	3.76	3.79
bitwidth-16-degree-16-seed-23-identity-point-original-native-encoding	1.32	1.33
bitwidth-8-degree-13-seed-23-identity-point-original-native-encoding	0.02	0.02
bitwidth-8-degree-13-seed-23-identity-point-original-subpolynomial-encoding	0.05	0.05
bitwidth-32-degree-25-seed-23-identity-point-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-2-seed-23-identity-point-original-subpolynomial-encoding	0.67	0.67
bitwidth-8-degree-8-seed-23-identity-point-original-subpolynomial-encoding	0.04	0.04
bitwidth-16-degree-12-seed-23-identity-point-original-subpolynomial-encoding	3.44	3.43
bitwidth-8-degree-13-seed-23-identity-point-reduced-native-encoding	0.01	0.01
bitwidth-32-degree-14-seed-23-identity-point-reduced-native-encoding	1.29	1.28
bitwidth-16-degree-5-seed-23-identity-point-reduced-native-encoding	0.04	0.04
bitwidth-16-degree-20-seed-23-identity-point-reduced-native-encoding	0.15	0.15
bitwidth-32-degree-25-seed-23-identity-point-reduced-native-encoding	4.06	4.07
bitwidth-32-degree-26-seed-23-identity-point-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-8-seed-23-identity-point-reduced-subpolynomial-encoding	0.05	0.05
bitwidth-32-degree-2-seed-23-identity-point-reduced-subpolynomial-encoding	0.67	0.67
bitwidth-16-degree-11-seed-23-identity-point-reduced-subpolynomial-encoding	3.41	3.44
bitwidth-32-degree-13-seed-23-identity-point-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-30-seed-23-multiplication-original-native-encoding	2.67	2.66
bitwidth-16-degree-7-seed-23-multiplication-original-native-encoding	0.14	0.14
