# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
cbmc	cadical	comba-cs	brent-kung	comm_9	0.127935
cbmc	cadical	comba-cs	g-only	comm_9	0.127616
cbmc	cadical	comba-cs	ripple	comm_9	0.127768
cbmc	cadical	dadda	brent-kung	comm_9	T/O
cbmc	cadical	dadda	g-only	comm_9	0.586471
cbmc	cadical	dadda	ripple	comm_9	0.65189
cbmc	cadical	shift-add	brent-kung	comm_9	2.28807
cbmc	cadical	shift-add	g-only	comm_9	2.28701
cbmc	cadical	shift-add	ripple	comm_9	2.2876
cbmc	cryptominisat	comba	brent-kung	comm_9	T/O
cbmc	cryptominisat	comba	g-only	comm_9	10.1194
cbmc	cryptominisat	comba	ripple	comm_9	9.50538
cbmc	cryptominisat	comba-cs	brent-kung	comm_9	9.17065
cbmc	cryptominisat	comba-cs	g-only	comm_9	9.19367
cbmc	cryptominisat	comba-cs	ripple	comm_9	9.24699
cbmc	cryptominisat	dadda	brent-kung	comm_9	T/O
cbmc	cryptominisat	dadda	g-only	comm_9	7.90165
cbmc	cryptominisat	dadda	ripple	comm_9	9.10084
cbmc	cryptominisat	shift-add	brent-kung	comm_9	10.1918
cbmc	cryptominisat	shift-add	g-only	comm_9	10.176
cbmc	cryptominisat	shift-add	ripple	comm_9	10.262
cbmc	mergesat	comba	brent-kung	comm_9	T/O
cbmc	mergesat	comba	g-only	comm_9	3.76263
cbmc	mergesat	comba	ripple	comm_9	3.04783
cbmc	mergesat	comba-cs	brent-kung	comm_9	2.86374
cbmc	mergesat	comba-cs	g-only	comm_9	2.85356
cbmc	mergesat	comba-cs	ripple	comm_9	2.85754
cbmc	mergesat	dadda	brent-kung	comm_9	T/O
cbmc	mergesat	dadda	g-only	comm_9	7.23361
cbmc	mergesat	dadda	ripple	comm_9	3.20163
cbmc	mergesat	shift-add	brent-kung	comm_9	7.48604
cbmc	mergesat	shift-add	g-only	comm_9	7.43774
cbmc	mergesat	shift-add	ripple	comm_9	7.50075
cbmc	minisat	comba	brent-kung	comm_9	T/O
cbmc	minisat	comba	g-only	comm_9	11.7075
cbmc	minisat	comba	ripple	comm_9	8.80288
cbmc	minisat	comba-cs	brent-kung	comm_9	6.67228
cbmc	minisat	comba-cs	g-only	comm_9	6.67382
cbmc	minisat	comba-cs	ripple	comm_9	6.67723
cbmc	minisat	dadda	brent-kung	comm_9	T/O
cbmc	minisat	dadda	g-only	comm_9	8.98664
cbmc	minisat	dadda	ripple	comm_9	10.2038
cbmc	minisat	shift-add	brent-kung	comm_9	6.60757
cbmc	minisat	shift-add	g-only	comm_9	6.61728
cbmc	minisat	shift-add	ripple	comm_9	6.63539
cbmc	cadical	comba-cs	ripple	div_by_const	9.67801
cbmc	cadical	shift-add	ripple	div_by_const	9.70566
cbmc	cadical	comba-cs	ripple	fir_tap	T/O
cbmc	cadical	shift-add	ripple	fir_tap	T/O
cbmc	cadical	comba-cs	ripple	keyed_hash	6.48669
cbmc	cadical	shift-add	ripple	keyed_hash	1.33822
cbmc	cadical	comba	brent-kung	mac_comm	T/O
cbmc	cadical	comba	g-only	mac_comm	0.648039
cbmc	cadical	comba	ripple	mac_comm	0.568644
cbmc	cadical	comba-cs	brent-kung	mac_comm	5.10354
cbmc	cadical	comba-cs	g-only	mac_comm	4.27329
cbmc	cadical	comba-cs	ripple	mac_comm	3.09781
cbmc	cadical	dadda	brent-kung	mac_comm	2.32365
cbmc	cadical	dadda	g-only	mac_comm	1.23535
cbmc	cadical	dadda	ripple	mac_comm	1.68745
cbmc	cadical	shift-add	brent-kung	mac_comm	40.5757
cbmc	cadical	shift-add	g-only	mac_comm	15.9347
cbmc	cadical	shift-add	ripple	mac_comm	11.8302
cbmc	cadical	comba	brent-kung	matrix_trace	T/O
cbmc	cadical	comba	g-only	matrix_trace	1.34327
cbmc	cadical	comba	ripple	matrix_trace	1.38037
cbmc	cadical	comba-cs	brent-kung	matrix_trace	3.44483
cbmc	cadical	comba-cs	g-only	matrix_trace	1.92896
cbmc	cadical	comba-cs	ripple	matrix_trace	1.78812
cbmc	cadical	dadda	brent-kung	matrix_trace	7.15807
cbmc	cadical	dadda	g-only	matrix_trace	3.16031
cbmc	cadical	dadda	ripple	matrix_trace	3.42687
cbmc	cadical	shift-add	brent-kung	matrix_trace	T/O
cbmc	cadical	shift-add	g-only	matrix_trace	34.4244
cbmc	cadical	shift-add	ripple	matrix_trace	43.2466
cbmc	cryptominisat	comba	brent-kung	matrix_trace	T/O
cbmc	cryptominisat	comba	g-only	matrix_trace	32.4822
cbmc	cryptominisat	comba	ripple	matrix_trace	25.8245
cbmc	cryptominisat	comba-cs	brent-kung	matrix_trace	T/O
cbmc	cryptominisat	comba-cs	g-only	matrix_trace	88.6633
cbmc	cryptominisat	comba-cs	ripple	matrix_trace	87.6734
cbmc	cryptominisat	dadda	brent-kung	matrix_trace	T/O
cbmc	cryptominisat	dadda	g-only	matrix_trace	34.9967
cbmc	cryptominisat	dadda	ripple	matrix_trace	40.3604
cbmc	cryptominisat	shift-add	brent-kung	matrix_trace	T/O
cbmc	cryptominisat	shift-add	g-only	matrix_trace	T/O
cbmc	cryptominisat	shift-add	ripple	matrix_trace	T/O
cbmc	mergesat	comba	brent-kung	matrix_trace	T/O
cbmc	mergesat	comba	g-only	matrix_trace	5.34818
cbmc	mergesat	comba	ripple	matrix_trace	4.71833
cbmc	mergesat	comba-cs	brent-kung	matrix_trace	11.8204
cbmc	mergesat	comba-cs	g-only	matrix_trace	8.69714
cbmc	mergesat	comba-cs	ripple	matrix_trace	14.0323
cbmc	mergesat	dadda	brent-kung	matrix_trace	18.5901
cbmc	mergesat	dadda	g-only	matrix_trace	14.6052
cbmc	mergesat	dadda	ripple	matrix_trace	12.2961
cbmc	mergesat	shift-add	brent-kung	matrix_trace	64.7316
cbmc	mergesat	shift-add	g-only	matrix_trace	44.1178
cbmc	mergesat	shift-add	ripple	matrix_trace	51.536
cbmc	minisat	comba	brent-kung	matrix_trace	T/O
cbmc	minisat	comba	g-only	matrix_trace	5.39272
cbmc	minisat	comba	ripple	matrix_trace	5.23343
cbmc	minisat	comba-cs	brent-kung	matrix_trace	30.6367
cbmc	minisat	comba-cs	g-only	matrix_trace	17.2992
cbmc	minisat	comba-cs	ripple	matrix_trace	12.1579
cbmc	minisat	dadda	brent-kung	matrix_trace	58.7376
cbmc	minisat	dadda	g-only	matrix_trace	61.0627
cbmc	minisat	dadda	ripple	matrix_trace	57.8646
cbmc	minisat	shift-add	brent-kung	matrix_trace	T/O
cbmc	minisat	shift-add	g-only	matrix_trace	T/O
cbmc	minisat	shift-add	ripple	matrix_trace	T/O
cbmc	cadical	comba-cs	ripple	murmurhash3_fmix	7.2252
cbmc	cadical	shift-add	ripple	murmurhash3_fmix	10.001
cbmc	cadical	comba-cs	ripple	overflow_16	0.735255
cbmc	cadical	dadda	ripple	overflow_16	0.258501
cbmc	cadical	shift-add	ripple	overflow_16	0.733862
