# Multiplication encoding benchmark results
# Date: 2026-04-27T16:05:34+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-302-g0f31443ad1-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	minisat	shift-add	ripple	add_chain_32	3.109598
smt2	cadical	comba	brent-kung	add_overflow_16	T/O
smt2	cadical	comba	g-only	add_overflow_16	.006466
smt2	cadical	comba	ripple	add_overflow_16	.006478
smt2	cadical	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cadical	comba-cs	g-only	add_overflow_16	.006324
smt2	cadical	comba-cs	ripple	add_overflow_16	.006108
smt2	cadical	dadda	brent-kung	add_overflow_16	T/O
smt2	cadical	dadda	g-only	add_overflow_16	.006241
smt2	cadical	dadda	ripple	add_overflow_16	.006126
smt2	cadical	shift-add	brent-kung	add_overflow_16	T/O
smt2	cadical	shift-add	g-only	add_overflow_16	.006348
smt2	cadical	shift-add	ripple	add_overflow_16	.006329
smt2	cryptominisat	comba	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba	g-only	add_overflow_16	.009269
smt2	cryptominisat	comba	ripple	add_overflow_16	.009258
smt2	cryptominisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba-cs	g-only	add_overflow_16	.009266
smt2	cryptominisat	comba-cs	ripple	add_overflow_16	.009217
smt2	cryptominisat	dadda	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	dadda	g-only	add_overflow_16	.009358
smt2	cryptominisat	dadda	ripple	add_overflow_16	.009220
smt2	cryptominisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	shift-add	g-only	add_overflow_16	.009295
smt2	cryptominisat	shift-add	ripple	add_overflow_16	.009313
smt2	mergesat	comba	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba	g-only	add_overflow_16	.009563
smt2	mergesat	comba	ripple	add_overflow_16	.009584
smt2	mergesat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba-cs	g-only	add_overflow_16	.009581
smt2	mergesat	comba-cs	ripple	add_overflow_16	.009518
smt2	mergesat	dadda	brent-kung	add_overflow_16	T/O
smt2	mergesat	dadda	g-only	add_overflow_16	.009572
smt2	mergesat	dadda	ripple	add_overflow_16	.009602
smt2	mergesat	shift-add	brent-kung	add_overflow_16	T/O
smt2	mergesat	shift-add	g-only	add_overflow_16	.009569
smt2	mergesat	shift-add	ripple	add_overflow_16	.009480
smt2	minisat	comba	brent-kung	add_overflow_16	T/O
smt2	minisat	comba	g-only	add_overflow_16	.006112
smt2	minisat	comba	ripple	add_overflow_16	.006016
smt2	minisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	minisat	comba-cs	g-only	add_overflow_16	.006041
smt2	minisat	comba-cs	ripple	add_overflow_16	.006123
smt2	minisat	dadda	brent-kung	add_overflow_16	T/O
smt2	minisat	dadda	g-only	add_overflow_16	.006221
smt2	minisat	dadda	ripple	add_overflow_16	.006000
smt2	minisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	minisat	shift-add	g-only	add_overflow_16	.006121
smt2	minisat	shift-add	ripple	add_overflow_16	.006081
smt2	cadical	comba	brent-kung	add_sub_cancel_16	.015307
smt2	cadical	comba	g-only	add_sub_cancel_16	.008374
smt2	cadical	comba	ripple	add_sub_cancel_16	.008305
smt2	cadical	comba-cs	brent-kung	add_sub_cancel_16	.015157
smt2	cadical	comba-cs	g-only	add_sub_cancel_16	.008291
smt2	cadical	comba-cs	ripple	add_sub_cancel_16	.008488
smt2	cadical	dadda	brent-kung	add_sub_cancel_16	.015080
smt2	cadical	dadda	g-only	add_sub_cancel_16	.008292
smt2	cadical	dadda	ripple	add_sub_cancel_16	.008302
smt2	cadical	shift-add	brent-kung	add_sub_cancel_16	.015040
smt2	cadical	shift-add	g-only	add_sub_cancel_16	.008413
smt2	cadical	shift-add	ripple	add_sub_cancel_16	.008657
smt2	cryptominisat	comba	brent-kung	add_sub_cancel_16	.010164
smt2	cryptominisat	comba	g-only	add_sub_cancel_16	.008461
smt2	cryptominisat	comba	ripple	add_sub_cancel_16	.008320
smt2	cryptominisat	comba-cs	brent-kung	add_sub_cancel_16	.010211
smt2	cryptominisat	comba-cs	g-only	add_sub_cancel_16	.008255
smt2	cryptominisat	comba-cs	ripple	add_sub_cancel_16	.008246
smt2	cryptominisat	dadda	brent-kung	add_sub_cancel_16	.010203
smt2	cryptominisat	dadda	g-only	add_sub_cancel_16	.008267
smt2	cryptominisat	dadda	ripple	add_sub_cancel_16	.008346
smt2	cryptominisat	shift-add	brent-kung	add_sub_cancel_16	.010155
smt2	cryptominisat	shift-add	g-only	add_sub_cancel_16	.008361
smt2	cryptominisat	shift-add	ripple	add_sub_cancel_16	.008450
smt2	mergesat	comba	brent-kung	add_sub_cancel_16	.016378
smt2	mergesat	comba	g-only	add_sub_cancel_16	.012479
smt2	mergesat	comba	ripple	add_sub_cancel_16	.012606
smt2	mergesat	comba-cs	brent-kung	add_sub_cancel_16	.016443
smt2	mergesat	comba-cs	g-only	add_sub_cancel_16	.012770
smt2	mergesat	comba-cs	ripple	add_sub_cancel_16	.012612
smt2	mergesat	dadda	brent-kung	add_sub_cancel_16	.016589
smt2	mergesat	dadda	g-only	add_sub_cancel_16	.012494
smt2	mergesat	dadda	ripple	add_sub_cancel_16	.012965
smt2	mergesat	shift-add	brent-kung	add_sub_cancel_16	.016322
smt2	mergesat	shift-add	g-only	add_sub_cancel_16	.012655
smt2	mergesat	shift-add	ripple	add_sub_cancel_16	.012536
smt2	minisat	comba	brent-kung	add_sub_cancel_16	.011318
smt2	minisat	comba	g-only	add_sub_cancel_16	.007485
smt2	minisat	comba	ripple	add_sub_cancel_16	.007424
smt2	minisat	comba-cs	brent-kung	add_sub_cancel_16	.011286
smt2	minisat	comba-cs	g-only	add_sub_cancel_16	.007408
smt2	minisat	comba-cs	ripple	add_sub_cancel_16	.007461
smt2	minisat	dadda	brent-kung	add_sub_cancel_16	.011431
smt2	minisat	dadda	g-only	add_sub_cancel_16	.007519
smt2	minisat	dadda	ripple	add_sub_cancel_16	.007469
smt2	minisat	shift-add	brent-kung	add_sub_cancel_16	.011302
smt2	minisat	shift-add	g-only	add_sub_cancel_16	.007463
smt2	minisat	shift-add	ripple	add_sub_cancel_16	.007605
smt2	cadical	comba	brent-kung	assoc_8	T/O
smt2	cadical	comba	g-only	assoc_8	.010693
smt2	cadical	comba	ripple	assoc_8	.011067
smt2	cadical	comba-cs	brent-kung	assoc_8	.009777
smt2	cadical	comba-cs	g-only	assoc_8	.009788
smt2	cadical	comba-cs	ripple	assoc_8	.009826
smt2	cadical	dadda	brent-kung	assoc_8	.009971
smt2	cadical	dadda	g-only	assoc_8	.009685
smt2	cadical	dadda	ripple	assoc_8	.009658
smt2	cadical	shift-add	brent-kung	assoc_8	.009705
smt2	cadical	shift-add	g-only	assoc_8	.009759
smt2	cadical	shift-add	ripple	assoc_8	.009849
smt2	cryptominisat	comba	brent-kung	assoc_8	T/O
smt2	cryptominisat	comba	g-only	assoc_8	T/O
smt2	cryptominisat	comba	ripple	assoc_8	T/O
smt2	cryptominisat	comba-cs	brent-kung	assoc_8	89.729234
smt2	cryptominisat	comba-cs	g-only	assoc_8	89.484163
smt2	cryptominisat	comba-cs	ripple	assoc_8	90.444272
smt2	cryptominisat	dadda	brent-kung	assoc_8	T/O
smt2	cryptominisat	dadda	g-only	assoc_8	T/O
