# Multiplication encoding benchmark results
# Date: 2026-04-25T18:26:53+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-274-gd3b768edcb-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	minisat	shift-add	ripple	add_chain_32	3.009705
smt2	cadical	comba	brent-kung	add_overflow_16	T/O
smt2	cadical	comba	g-only	add_overflow_16	.008463
smt2	cadical	comba	ripple	add_overflow_16	.008672
smt2	cadical	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cadical	comba-cs	g-only	add_overflow_16	.007918
smt2	cadical	comba-cs	ripple	add_overflow_16	.008341
smt2	cadical	dadda	brent-kung	add_overflow_16	T/O
smt2	cadical	dadda	g-only	add_overflow_16	.008005
smt2	cadical	dadda	ripple	add_overflow_16	.008333
smt2	cadical	shift-add	brent-kung	add_overflow_16	T/O
smt2	cadical	shift-add	g-only	add_overflow_16	.008652
smt2	cadical	shift-add	ripple	add_overflow_16	.008020
smt2	cryptominisat	comba	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba	g-only	add_overflow_16	.009421
smt2	cryptominisat	comba	ripple	add_overflow_16	.009359
smt2	cryptominisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba-cs	g-only	add_overflow_16	.008844
smt2	cryptominisat	comba-cs	ripple	add_overflow_16	.009348
smt2	cryptominisat	dadda	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	dadda	g-only	add_overflow_16	.008870
smt2	cryptominisat	dadda	ripple	add_overflow_16	.009415
smt2	cryptominisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	shift-add	g-only	add_overflow_16	.009442
smt2	cryptominisat	shift-add	ripple	add_overflow_16	.008926
smt2	mergesat	comba	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba	g-only	add_overflow_16	.009951
smt2	mergesat	comba	ripple	add_overflow_16	.010092
smt2	mergesat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba-cs	g-only	add_overflow_16	.009434
smt2	mergesat	comba-cs	ripple	add_overflow_16	.010016
smt2	mergesat	dadda	brent-kung	add_overflow_16	T/O
smt2	mergesat	dadda	g-only	add_overflow_16	.009395
smt2	mergesat	dadda	ripple	add_overflow_16	.009963
smt2	mergesat	shift-add	brent-kung	add_overflow_16	T/O
smt2	mergesat	shift-add	g-only	add_overflow_16	.010008
smt2	mergesat	shift-add	ripple	add_overflow_16	.009439
smt2	minisat	comba	brent-kung	add_overflow_16	T/O
smt2	minisat	comba	g-only	add_overflow_16	.008433
smt2	minisat	comba	ripple	add_overflow_16	.008158
smt2	minisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	minisat	comba-cs	g-only	add_overflow_16	.007846
smt2	minisat	comba-cs	ripple	add_overflow_16	.008245
smt2	minisat	dadda	brent-kung	add_overflow_16	T/O
smt2	minisat	dadda	g-only	add_overflow_16	.007787
smt2	minisat	dadda	ripple	add_overflow_16	.008150
smt2	minisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	minisat	shift-add	g-only	add_overflow_16	.008320
smt2	minisat	shift-add	ripple	add_overflow_16	.007692
smt2	cadical	comba	brent-kung	add_sub_cancel_16	.015049
smt2	cadical	comba	g-only	add_sub_cancel_16	.008382
