# External solver comparison on QF_BV benchmarks
# Date: 2026-04-27T09:12:31+00:00
# Timeout: 120s, Runs: 3 (median), Jobs: 8
# CBMC smt2_solver: ?
# Bitwuzla: 0.9.0-dev-main@72ecd081
# cvc5: This is cvc5 version 1.3.3 [git 8ff882e on branch HEAD]
#
solver	benchmark	time
bitwuzla	add_chain_16	.004947
cbmc-cadical	add_chain_16	.180113
cbmc-minisat	add_chain_16	.356874
cvc5	add_chain_16	.006062
bitwuzla	add_chain_32	.004834
cbmc-cadical	add_chain_32	.326181
cbmc-minisat	add_chain_32	3.008144
cvc5	add_chain_32	.005926
bitwuzla	add_overflow_16	.004700
cbmc-cadical	add_overflow_16	.006193
cbmc-minisat	add_overflow_16	.005839
cvc5	add_overflow_16	.006576
bitwuzla	add_sub_cancel_16	.004636
cbmc-cadical	add_sub_cancel_16	.008225
cbmc-minisat	add_sub_cancel_16	.007402
cvc5	add_sub_cancel_16	.005717
bitwuzla	assoc_8	.005169
cbmc-cadical	assoc_8	.010111
cbmc-minisat	assoc_8	.009687
cvc5	assoc_8	.005939
bitwuzla	barrett_red_8	.006887
cbmc-cadical	barrett_red_8	.012271
cbmc-minisat	barrett_red_8	.006698
cvc5	barrett_red_8	.009040
bitwuzla	bf16_mul_comm	T/O
cbmc-cadical	bf16_mul_comm	.009096
cbmc-minisat	bf16_mul_comm	.039818
cvc5	bf16_mul_comm	T/O
bitwuzla	bf16_mul_comm_v2	T/O
cbmc-cadical	bf16_mul_comm_v2	11.040609
cbmc-minisat	bf16_mul_comm_v2	T/O
cvc5	bf16_mul_comm_v2	T/O
bitwuzla	bf16_mul_const	T/O
cbmc-cadical	bf16_mul_const	.028530
cbmc-minisat	bf16_mul_const	.021659
cvc5	bf16_mul_const	T/O
bitwuzla	bf16_mul_mono	T/O
cbmc-cadical	bf16_mul_mono	28.799158
cbmc-minisat	bf16_mul_mono	T/O
cvc5	bf16_mul_mono	T/O
bitwuzla	checked_mul_16	.005064
cbmc-cadical	checked_mul_16	.008916
cbmc-minisat	checked_mul_16	.008323
cvc5	checked_mul_16	.014715
bitwuzla	comm_16	.004886
cbmc-cadical	comm_16	.009277
cbmc-minisat	comm_16	.008548
cvc5	comm_16	.006050
bitwuzla	comm_20	.004954
