# External solver comparison on QF_BV benchmarks
# Date: 2026-04-27T16:05:34+00:00
# Timeout: 120s, Runs: 3 (median), Jobs: 8
# CBMC smt2_solver: ?
# Bitwuzla: 0.9.0-dev-main@72ecd081
# cvc5: This is cvc5 version 1.3.3 [git 8ff882e on branch HEAD]
#
solver	benchmark	time
cvc5	mul_no_overflow_16	.030624
bitwuzla	overflow_detect_16	.005023
cbmc-cadical	overflow_detect_16	.008925
cbmc-minisat	overflow_detect_16	.008275
cvc5	overflow_detect_16	.014834
bitwuzla	strength_chain_16	.005452
cbmc-cadical	strength_chain_16	1.489313
cbmc-minisat	strength_chain_16	3.181262
cvc5	strength_chain_16	.007871
bitwuzla	strength_red_16	.005080
cbmc-cadical	strength_red_16	.016997
cbmc-minisat	strength_red_16	.012569
cvc5	strength_red_16	.007420
