# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	minisat	shift-add	ripple	add_chain_32	3.015347
smt2	cadical	comba	brent-kung	add_overflow_16	T/O
smt2	cadical	comba	g-only	add_overflow_16	.008263
smt2	cadical	comba	ripple	add_overflow_16	.008413
smt2	cadical	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cadical	comba-cs	g-only	add_overflow_16	.008316
smt2	cadical	comba-cs	ripple	add_overflow_16	.008264
smt2	cadical	dadda	brent-kung	add_overflow_16	T/O
smt2	cadical	dadda	g-only	add_overflow_16	.008405
smt2	cadical	dadda	ripple	add_overflow_16	.008116
smt2	cadical	shift-add	brent-kung	add_overflow_16	T/O
smt2	cadical	shift-add	g-only	add_overflow_16	.008396
smt2	cadical	shift-add	ripple	add_overflow_16	.008312
smt2	cryptominisat	comba	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba	g-only	add_overflow_16	.009177
smt2	cryptominisat	comba	ripple	add_overflow_16	.009371
smt2	cryptominisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	comba-cs	g-only	add_overflow_16	.009218
smt2	cryptominisat	comba-cs	ripple	add_overflow_16	.009548
smt2	cryptominisat	dadda	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	dadda	g-only	add_overflow_16	.009296
smt2	cryptominisat	dadda	ripple	add_overflow_16	.009208
smt2	cryptominisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	cryptominisat	shift-add	g-only	add_overflow_16	.009339
smt2	cryptominisat	shift-add	ripple	add_overflow_16	.009394
smt2	mergesat	comba	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba	g-only	add_overflow_16	.009792
smt2	mergesat	comba	ripple	add_overflow_16	.009713
smt2	mergesat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	mergesat	comba-cs	g-only	add_overflow_16	.009721
smt2	mergesat	comba-cs	ripple	add_overflow_16	.010028
smt2	mergesat	dadda	brent-kung	add_overflow_16	T/O
smt2	mergesat	dadda	g-only	add_overflow_16	.010125
smt2	mergesat	dadda	ripple	add_overflow_16	.010364
smt2	mergesat	shift-add	brent-kung	add_overflow_16	T/O
smt2	mergesat	shift-add	g-only	add_overflow_16	.010014
smt2	mergesat	shift-add	ripple	add_overflow_16	.010140
smt2	minisat	comba	brent-kung	add_overflow_16	T/O
smt2	minisat	comba	g-only	add_overflow_16	.008027
smt2	minisat	comba	ripple	add_overflow_16	.007931
smt2	minisat	comba-cs	brent-kung	add_overflow_16	T/O
smt2	minisat	comba-cs	g-only	add_overflow_16	.008052
smt2	minisat	comba-cs	ripple	add_overflow_16	.007967
smt2	minisat	dadda	brent-kung	add_overflow_16	T/O
smt2	minisat	dadda	g-only	add_overflow_16	.008128
smt2	minisat	dadda	ripple	add_overflow_16	.008037
smt2	minisat	shift-add	brent-kung	add_overflow_16	T/O
smt2	minisat	shift-add	g-only	add_overflow_16	.008215
smt2	minisat	shift-add	ripple	add_overflow_16	.008086
smt2	cadical	comba	brent-kung	add_sub_cancel_16	.015836
smt2	cadical	comba	g-only	add_sub_cancel_16	.008848
smt2	cadical	comba	ripple	add_sub_cancel_16	.009238
smt2	cadical	comba-cs	brent-kung	add_sub_cancel_16	.016574
smt2	cadical	comba-cs	g-only	add_sub_cancel_16	.008643
smt2	cadical	comba-cs	ripple	add_sub_cancel_16	.009116
smt2	cadical	dadda	brent-kung	add_sub_cancel_16	.016247
smt2	cadical	dadda	g-only	add_sub_cancel_16	.008786
smt2	cadical	dadda	ripple	add_sub_cancel_16	.009029
smt2	cadical	shift-add	brent-kung	add_sub_cancel_16	.015924
smt2	cadical	shift-add	g-only	add_sub_cancel_16	.008953
smt2	cadical	shift-add	ripple	add_sub_cancel_16	.008765
smt2	cryptominisat	comba	brent-kung	add_sub_cancel_16	.011161
smt2	cryptominisat	comba	g-only	add_sub_cancel_16	.008693
smt2	cryptominisat	comba	ripple	add_sub_cancel_16	.008956
smt2	cryptominisat	comba-cs	brent-kung	add_sub_cancel_16	.010722
smt2	cryptominisat	comba-cs	g-only	add_sub_cancel_16	.008680
smt2	cryptominisat	comba-cs	ripple	add_sub_cancel_16	.008776
smt2	cryptominisat	dadda	brent-kung	add_sub_cancel_16	.010625
smt2	cryptominisat	dadda	g-only	add_sub_cancel_16	.008727
smt2	cryptominisat	dadda	ripple	add_sub_cancel_16	.008464
smt2	cryptominisat	shift-add	brent-kung	add_sub_cancel_16	.010979
smt2	cryptominisat	shift-add	g-only	add_sub_cancel_16	.008717
smt2	cryptominisat	shift-add	ripple	add_sub_cancel_16	.008698
smt2	mergesat	comba	brent-kung	add_sub_cancel_16	.017465
smt2	mergesat	comba	g-only	add_sub_cancel_16	.013524
smt2	mergesat	comba	ripple	add_sub_cancel_16	.013011
smt2	mergesat	comba-cs	brent-kung	add_sub_cancel_16	.017724
smt2	mergesat	comba-cs	g-only	add_sub_cancel_16	.012988
smt2	mergesat	comba-cs	ripple	add_sub_cancel_16	.014067
smt2	mergesat	dadda	brent-kung	add_sub_cancel_16	.017398
smt2	mergesat	dadda	g-only	add_sub_cancel_16	.013184
smt2	mergesat	dadda	ripple	add_sub_cancel_16	.013759
smt2	mergesat	shift-add	brent-kung	add_sub_cancel_16	.017631
smt2	mergesat	shift-add	g-only	add_sub_cancel_16	.013570
smt2	mergesat	shift-add	ripple	add_sub_cancel_16	.013366
smt2	minisat	comba	brent-kung	add_sub_cancel_16	.012197
