# Multiplication encoding benchmark results
# Date: 2026-04-22T09:05:42+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-238-ga9dec53064-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
Starting (smt2, jobs=8, runs=3, timeout=120s)...
# smt2 suite
  [79] mergesat/comba+brent-kung/add_chain_32 = 3.250035
  [78] minisat/comba+brent-kung/add_chain_32 = 10.145649
  [77] cryptominisat/comba+brent-kung/add_chain_32 = 11.342933
  [80] cadical/comba+g-only/add_chain_32 = .325475
  [84] cadical/comba-cs+ripple/add_chain_32 = .458864
  [83] mergesat/comba+g-only/add_chain_32 = .763463
  [87] mergesat/comba-cs+ripple/add_chain_32 = .978153
  [85] cryptominisat/comba-cs+ripple/add_chain_32 = 1.806412
  [81] cryptominisat/comba+g-only/add_chain_32 = 1.889040
  [86] minisat/comba-cs+ripple/add_chain_32 = 2.519327
  [82] minisat/comba+g-only/add_chain_32 = 3.009301
  [92] cadical/comba-cs+g-only/add_chain_32 = .326083
  [95] mergesat/comba-cs+g-only/add_chain_32 = .763456
  [88] cadical/comba-cs+brent-kung/add_chain_32 = 1.694323
  [93] cryptominisat/comba-cs+g-only/add_chain_32 = 1.904089
  [94] minisat/comba-cs+g-only/add_chain_32 = 3.009377
  [91] mergesat/comba-cs+brent-kung/add_chain_32 = 3.253290
  [90] minisat/comba-cs+brent-kung/add_chain_32 = 10.147836
  [89] cryptominisat/comba-cs+brent-kung/add_chain_32 = 11.296133
  [96] cadical/shift-add+ripple/add_overflow_16 = .007779
  [98] minisat/shift-add+ripple/add_overflow_16 = .007884
  [97] cryptominisat/shift-add+ripple/add_overflow_16 = .008587
  [99] mergesat/shift-add+ripple/add_overflow_16 = .009456
  [102] minisat/shift-add+brent-kung/add_overflow_16 = T/O
  [101] cryptominisat/shift-add+brent-kung/add_overflow_16 = T/O
  [100] cadical/shift-add+brent-kung/add_overflow_16 = T/O
  [103] mergesat/shift-add+brent-kung/add_overflow_16 = T/O
  [106] minisat/shift-add+g-only/add_overflow_16 = .008493
  [104] cadical/shift-add+g-only/add_overflow_16 = .008557
  [108] cadical/dadda+ripple/add_overflow_16 = .008094
  [110] minisat/dadda+ripple/add_overflow_16 = .008456
  [109] cryptominisat/dadda+ripple/add_overflow_16 = .008908
  [105] cryptominisat/shift-add+g-only/add_overflow_16 = .009548
  [107] mergesat/shift-add+g-only/add_overflow_16 = .010143
  [111] mergesat/dadda+ripple/add_overflow_16 = .009986
  [118] minisat/dadda+g-only/add_overflow_16 = .007770
  [116] cadical/dadda+g-only/add_overflow_16 = .008013
  [117] cryptominisat/dadda+g-only/add_overflow_16 = .008930
  [119] mergesat/dadda+g-only/add_overflow_16 = .009394
  [113] cryptominisat/dadda+brent-kung/add_overflow_16 = T/O
  [115] mergesat/dadda+brent-kung/add_overflow_16 = T/O
  [114] minisat/dadda+brent-kung/add_overflow_16 = T/O
  [112] cadical/dadda+brent-kung/add_overflow_16 = T/O
  [120] cadical/comba+ripple/add_overflow_16 = .008143
  [122] minisat/comba+ripple/add_overflow_16 = .008348
  [121] cryptominisat/comba+ripple/add_overflow_16 = .009067
  [123] mergesat/comba+ripple/add_overflow_16 = .009947
  [125] cryptominisat/comba+brent-kung/add_overflow_16 = T/O
  [126] minisat/comba+brent-kung/add_overflow_16 = T/O
  [127] mergesat/comba+brent-kung/add_overflow_16 = T/O
  [124] cadical/comba+brent-kung/add_overflow_16 = T/O
  [132] cadical/comba-cs+ripple/add_overflow_16 = .008240
  [128] cadical/comba+g-only/add_overflow_16 = .008574
  [130] minisat/comba+g-only/add_overflow_16 = .008309
  [134] minisat/comba-cs+ripple/add_overflow_16 = .008455
  [129] cryptominisat/comba+g-only/add_overflow_16 = .009587
  [133] cryptominisat/comba-cs+ripple/add_overflow_16 = .009077
  [131] mergesat/comba+g-only/add_overflow_16 = .010049
  [135] mergesat/comba-cs+ripple/add_overflow_16 = .009984
  [142] minisat/comba-cs+g-only/add_overflow_16 = .007768
  [140] cadical/comba-cs+g-only/add_overflow_16 = .008087
  [141] cryptominisat/comba-cs+g-only/add_overflow_16 = .008896
  [143] mergesat/comba-cs+g-only/add_overflow_16 = .009610
  [137] cryptominisat/comba-cs+brent-kung/add_overflow_16 = T/O
  [138] minisat/comba-cs+brent-kung/add_overflow_16 = T/O
  [139] mergesat/comba-cs+brent-kung/add_overflow_16 = T/O
  [136] cadical/comba-cs+brent-kung/add_overflow_16 = T/O
  [146] minisat/shift-add+ripple/add_sub_cancel_16 = .008332
  [145] cryptominisat/shift-add+ripple/add_sub_cancel_16 = .008563
  [144] cadical/shift-add+ripple/add_sub_cancel_16 = .009332
  [149] cryptominisat/shift-add+brent-kung/add_sub_cancel_16 = .010604
  [147] mergesat/shift-add+ripple/add_sub_cancel_16 = .011047
  [150] minisat/shift-add+brent-kung/add_sub_cancel_16 = .011791
  [148] cadical/shift-add+brent-kung/add_sub_cancel_16 = .015406
  [151] mergesat/shift-add+brent-kung/add_sub_cancel_16 = .016628
  [154] minisat/shift-add+g-only/add_sub_cancel_16 = .007520
  [152] cadical/shift-add+g-only/add_sub_cancel_16 = .008295
  [157] cryptominisat/dadda+ripple/add_sub_cancel_16 = .007909
  [158] minisat/dadda+ripple/add_sub_cancel_16 = .007728
  [153] cryptominisat/shift-add+g-only/add_sub_cancel_16 = .008499
  [156] cadical/dadda+ripple/add_sub_cancel_16 = .008480
  [159] mergesat/dadda+ripple/add_sub_cancel_16 = .010487
  [155] mergesat/shift-add+g-only/add_sub_cancel_16 = .012526
  [166] minisat/dadda+g-only/add_sub_cancel_16 = .007428
  [164] cadical/dadda+g-only/add_sub_cancel_16 = .008228
  [165] cryptominisat/dadda+g-only/add_sub_cancel_16 = .008296
  [161] cryptominisat/dadda+brent-kung/add_sub_cancel_16 = .010345
  [162] minisat/dadda+brent-kung/add_sub_cancel_16 = .011292
  [167] mergesat/dadda+g-only/add_sub_cancel_16 = .012383
  [160] cadical/dadda+brent-kung/add_sub_cancel_16 = .015202
  [163] mergesat/dadda+brent-kung/add_sub_cancel_16 = .016393
  [169] cryptominisat/comba+ripple/add_sub_cancel_16 = .007792
  [170] minisat/comba+ripple/add_sub_cancel_16 = .007716
  [168] cadical/comba+ripple/add_sub_cancel_16 = .008618
  [171] mergesat/comba+ripple/add_sub_cancel_16 = .010399
  [173] cryptominisat/comba+brent-kung/add_sub_cancel_16 = .010401
  [174] minisat/comba+brent-kung/add_sub_cancel_16 = .011149
  [172] cadical/comba+brent-kung/add_sub_cancel_16 = .014927
  [175] mergesat/comba+brent-kung/add_sub_cancel_16 = .016269
  [178] minisat/comba+g-only/add_sub_cancel_16 = .007517
  [177] cryptominisat/comba+g-only/add_sub_cancel_16 = .008342
  [176] cadical/comba+g-only/add_sub_cancel_16 = .008298
  [182] minisat/comba-cs+ripple/add_sub_cancel_16 = .007590
  [181] cryptominisat/comba-cs+ripple/add_sub_cancel_16 = .007885
  [180] cadical/comba-cs+ripple/add_sub_cancel_16 = .008565
  [183] mergesat/comba-cs+ripple/add_sub_cancel_16 = .010713
  [179] mergesat/comba+g-only/add_sub_cancel_16 = .012472
  [190] minisat/comba-cs+g-only/add_sub_cancel_16 = .007379
  [188] cadical/comba-cs+g-only/add_sub_cancel_16 = .008230
  [189] cryptominisat/comba-cs+g-only/add_sub_cancel_16 = .008247
  [185] cryptominisat/comba-cs+brent-kung/add_sub_cancel_16 = .010316
  [186] minisat/comba-cs+brent-kung/add_sub_cancel_16 = .011241
  [191] mergesat/comba-cs+g-only/add_sub_cancel_16 = .012424
  [184] cadical/comba-cs+brent-kung/add_sub_cancel_16 = .015207
  [187] mergesat/comba-cs+brent-kung/add_sub_cancel_16 = .016268
  [192] cadical/shift-add+ripple/assoc_8 = 27.156395
  [196] cadical/shift-add+brent-kung/assoc_8 = 27.182469
  [193] cryptominisat/shift-add+ripple/assoc_8 = 86.057674
  [197] cryptominisat/shift-add+brent-kung/assoc_8 = 86.024839
  [199] mergesat/shift-add+brent-kung/assoc_8 = 103.083049
  [195] mergesat/shift-add+ripple/assoc_8 = 103.460495
  [194] minisat/shift-add+ripple/assoc_8 = T/O
  [198] minisat/shift-add+brent-kung/assoc_8 = T/O
  [200] cadical/shift-add+g-only/assoc_8 = 27.147648
  [201] cryptominisat/shift-add+g-only/assoc_8 = 86.353658
  [203] mergesat/shift-add+g-only/assoc_8 = 103.728709
  [206] minisat/dadda+ripple/assoc_8 = T/O
  [202] minisat/shift-add+g-only/assoc_8 = T/O
  [204] cadical/dadda+ripple/assoc_8 = T/O
  [205] cryptominisat/dadda+ripple/assoc_8 = T/O
  [207] mergesat/dadda+ripple/assoc_8 = T/O
  [208] cadical/dadda+brent-kung/assoc_8 = T/O
  [214] minisat/dadda+g-only/assoc_8 = T/O
  [212] cadical/dadda+g-only/assoc_8 = T/O
  [210] minisat/dadda+brent-kung/assoc_8 = T/O
  [209] cryptominisat/dadda+brent-kung/assoc_8 = T/O
  [213] cryptominisat/dadda+g-only/assoc_8 = T/O
  [215] mergesat/dadda+g-only/assoc_8 = T/O
  [211] mergesat/dadda+brent-kung/assoc_8 = T/O
  [222] minisat/comba+brent-kung/assoc_8 = T/O
  [220] cadical/comba+brent-kung/assoc_8 = T/O
  [221] cryptominisat/comba+brent-kung/assoc_8 = T/O
  [223] mergesat/comba+brent-kung/assoc_8 = T/O
  [216] cadical/comba+ripple/assoc_8 = 119.152948
  [218] minisat/comba+ripple/assoc_8 = T/O
  [217] cryptominisat/comba+ripple/assoc_8 = T/O
  [219] mergesat/comba+ripple/assoc_8 = T/O
  [226] minisat/comba+g-only/assoc_8 = T/O
  [224] cadical/comba+g-only/assoc_8 = T/O
  [230] minisat/comba-cs+ripple/assoc_8 = T/O
  [228] cadical/comba-cs+ripple/assoc_8 = T/O
  [225] cryptominisat/comba+g-only/assoc_8 = T/O
  [229] cryptominisat/comba-cs+ripple/assoc_8 = T/O
  [231] mergesat/comba-cs+ripple/assoc_8 = T/O
  [227] mergesat/comba+g-only/assoc_8 = T/O
  [234] minisat/comba-cs+brent-kung/assoc_8 = T/O
  [232] cadical/comba-cs+brent-kung/assoc_8 = T/O
  [238] minisat/comba-cs+g-only/assoc_8 = T/O
  [236] cadical/comba-cs+g-only/assoc_8 = T/O
  [233] cryptominisat/comba-cs+brent-kung/assoc_8 = T/O
  [237] cryptominisat/comba-cs+g-only/assoc_8 = T/O
  [235] mergesat/comba-cs+brent-kung/assoc_8 = T/O
  [239] mergesat/comba-cs+g-only/assoc_8 = T/O
  [242] minisat/shift-add+ripple/barrett_red_8 = .006679
  [241] cryptominisat/shift-add+ripple/barrett_red_8 = .007187
  [246] minisat/shift-add+brent-kung/barrett_red_8 = .006777
  [243] mergesat/shift-add+ripple/barrett_red_8 = .007750
