# Bitwuzla 0.9.0-dev and cvc5 1.3.3 on Martin's 210-benchmark sample
# 10 s timeout; T/O denotes timeout or unknown
# Used to validate the "wins beyond all current solvers" claim
benchmark	bitwuzla	cvc5
bitwidth-32-degree-2-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-16-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	0.03	0.05
bitwidth-8-degree-14-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	0.02	0.07
bitwidth-16-degree-12-seed-23-correctness-reduced-native-encoding-vs-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-24-seed-23-equality-original-native-encoding	0.03	0.16
bitwidth-16-degree-4-seed-23-equality-original-native-encoding	0.00	0.02
bitwidth-32-degree-28-seed-23-equality-original-native-encoding	0.44	0.95
bitwidth-16-degree-5-seed-23-equality-original-native-encoding	0.01	0.02
bitwidth-8-degree-6-seed-23-equality-original-native-encoding	0.00	0.01
bitwidth-16-degree-4-seed-23-equality-original-subpolynomial-encoding	0.03	0.06
bitwidth-32-degree-9-seed-23-equality-original-subpolynomial-encoding	0.42	2.12
bitwidth-16-degree-29-seed-23-equality-original-subpolynomial-encoding	0.12	0.56
bitwidth-32-degree-14-seed-23-equality-original-subpolynomial-encoding	0.79	6.35
bitwidth-32-degree-15-seed-23-equality-original-subpolynomial-encoding	0.70	8.27
bitwidth-16-degree-12-seed-23-equality-reduced-native-encoding	0.02	0.07
bitwidth-32-degree-11-seed-23-equality-reduced-native-encoding	0.11	0.27
bitwidth-8-degree-11-seed-23-equality-reduced-native-encoding	0.00	0.01
bitwidth-8-degree-6-seed-23-equality-reduced-native-encoding	0.00	0.01
bitwidth-16-degree-9-seed-23-equality-reduced-native-encoding	0.02	0.05
bitwidth-16-degree-25-seed-23-equality-reduced-subpolynomial-encoding	0.12	0.51
bitwidth-32-degree-6-seed-23-equality-reduced-subpolynomial-encoding	0.39	1.17
bitwidth-16-degree-7-seed-23-equality-reduced-subpolynomial-encoding	0.07	0.17
bitwidth-32-degree-20-seed-23-equality-reduced-subpolynomial-encoding	1.02	T/O
bitwidth-16-degree-26-seed-23-equality-reduced-subpolynomial-encoding	0.12	0.46
