encoding	benchmark	run	time	result	conflicts
booth	const_mul_16_3	5	.004649	unsat	0
block4	const_mul_16_3	1	.004701	unsat	0
block4	const_mul_16_3	2	.004708	unsat	0
block4	const_mul_16_3	3	.004633	unsat	0
block4	const_mul_16_3	4	.004649	unsat	0
block4	const_mul_16_3	5	.004654	unsat	0
sortnet	const_mul_16_3	1	.004645	unsat	0
sortnet	const_mul_16_3	2	.004575	unsat	0
sortnet	const_mul_16_3	3	.004584	unsat	0
sortnet	const_mul_16_3	4	.004742	unsat	0
sortnet	const_mul_16_3	5	.004674	unsat	0
shift-add	const_mul_16_15	1	.004604	unsat	0
shift-add	const_mul_16_15	2	.004598	unsat	0
shift-add	const_mul_16_15	3	.004638	unsat	0
shift-add	const_mul_16_15	4	.004579	unsat	0
shift-add	const_mul_16_15	5	.004615	unsat	0
comba-cs	const_mul_16_15	1	.004661	unsat	0
comba-cs	const_mul_16_15	2	.004633	unsat	0
comba-cs	const_mul_16_15	3	.004722	unsat	0
comba-cs	const_mul_16_15	4	.004599	unsat	0
comba-cs	const_mul_16_15	5	.004610	unsat	0
dadda	const_mul_16_15	1	.004579	unsat	0
dadda	const_mul_16_15	2	.004527	unsat	0
dadda	const_mul_16_15	3	.004617	unsat	0
dadda	const_mul_16_15	4	.004634	unsat	0
dadda	const_mul_16_15	5	.004628	unsat	0
booth	const_mul_16_15	1	.004651	unsat	0
booth	const_mul_16_15	2	.004621	unsat	0
booth	const_mul_16_15	3	.004558	unsat	0
booth	const_mul_16_15	4	.004648	unsat	0
booth	const_mul_16_15	5	.004685	unsat	0
block4	const_mul_16_15	1	.004636	unsat	0
block4	const_mul_16_15	2	.004679	unsat	0
block4	const_mul_16_15	3	.004590	unsat	0
block4	const_mul_16_15	4	.004584	unsat	0
block4	const_mul_16_15	5	.004730	unsat	0
sortnet	const_mul_16_15	1	.004625	unsat	0
sortnet	const_mul_16_15	2	.004601	unsat	0
sortnet	const_mul_16_15	3	.004651	unsat	0
sortnet	const_mul_16_15	4	.004643	unsat	0
sortnet	const_mul_16_15	5	.004639	unsat	0
shift-add	const_mul_16_255	1	.004600	unsat	0
shift-add	const_mul_16_255	2	.004634	unsat	0
shift-add	const_mul_16_255	3	.004690	unsat	0
shift-add	const_mul_16_255	4	.004627	unsat	0
shift-add	const_mul_16_255	5	.004676	unsat	0
comba-cs	const_mul_16_255	1	.004788	unsat	0
comba-cs	const_mul_16_255	2	.004587	unsat	0
comba-cs	const_mul_16_255	3	.004678	unsat	0
comba-cs	const_mul_16_255	4	.004645	unsat	0
comba-cs	const_mul_16_255	5	.004634	unsat	0
dadda	const_mul_16_255	1	.004657	unsat	0
dadda	const_mul_16_255	2	.004725	unsat	0
dadda	const_mul_16_255	3	.004622	unsat	0
dadda	const_mul_16_255	4	.004661	unsat	0
dadda	const_mul_16_255	5	.004610	unsat	0
booth	const_mul_16_255	1	.004637	unsat	0
booth	const_mul_16_255	2	.004559	unsat	0
booth	const_mul_16_255	3	.004589	unsat	0
booth	const_mul_16_255	4	.004585	unsat	0
booth	const_mul_16_255	5	.004662	unsat	0
block4	const_mul_16_255	1	.004608	unsat	0
block4	const_mul_16_255	2	.004606	unsat	0
block4	const_mul_16_255	3	.004581	unsat	0
block4	const_mul_16_255	4	.004631	unsat	0
block4	const_mul_16_255	5	.004584	unsat	0
sortnet	const_mul_16_255	1	.004655	unsat	0
sortnet	const_mul_16_255	2	.004587	unsat	0
sortnet	const_mul_16_255	3	.004626	unsat	0
sortnet	const_mul_16_255	4	.004696	unsat	0
sortnet	const_mul_16_255	5	.004641	unsat	0
shift-add	const_mul_32_15	1	.004638	unsat	0
shift-add	const_mul_32_15	2	.004743	unsat	0
shift-add	const_mul_32_15	3	.004581	unsat	0
shift-add	const_mul_32_15	4	.004605	unsat	0
shift-add	const_mul_32_15	5	.004590	unsat	0
comba-cs	const_mul_32_15	1	.004613	unsat	0
comba-cs	const_mul_32_15	2	.004704	unsat	0
comba-cs	const_mul_32_15	3	.004634	unsat	0
comba-cs	const_mul_32_15	4	.004655	unsat	0
comba-cs	const_mul_32_15	5	.004736	unsat	0
dadda	const_mul_32_15	1	.004714	unsat	0
dadda	const_mul_32_15	2	.004602	unsat	0
dadda	const_mul_32_15	3	.004663	unsat	0
dadda	const_mul_32_15	4	.004778	unsat	0
dadda	const_mul_32_15	5	.004634	unsat	0
booth	const_mul_32_15	1	.004769	unsat	0
booth	const_mul_32_15	2	.004718	unsat	0
booth	const_mul_32_15	3	.004789	unsat	0
booth	const_mul_32_15	4	.004652	unsat	0
booth	const_mul_32_15	5	.004672	unsat	0
block4	const_mul_32_15	1	.004603	unsat	0
block4	const_mul_32_15	2	.004593	unsat	0
block4	const_mul_32_15	3	.004595	unsat	0
block4	const_mul_32_15	4	.004649	unsat	0
block4	const_mul_32_15	5	.004651	unsat	0
sortnet	const_mul_32_15	1	.004611	unsat	0
sortnet	const_mul_32_15	2	.004719	unsat	0
sortnet	const_mul_32_15	3	.004714	unsat	0
sortnet	const_mul_32_15	4	.004744	unsat	0
sortnet	const_mul_32_15	5	.004608	unsat	0
shift-add	const_mul_32_255	1	.004636	unsat	0
shift-add	const_mul_32_255	2	.004750	unsat	0
shift-add	const_mul_32_255	3	.004704	unsat	0
shift-add	const_mul_32_255	4	.004725	unsat	0
shift-add	const_mul_32_255	5	.004610	unsat	0
comba-cs	const_mul_32_255	1	.004605	unsat	0
comba-cs	const_mul_32_255	2	.004625	unsat	0
comba-cs	const_mul_32_255	3	.004617	unsat	0
comba-cs	const_mul_32_255	4	.004632	unsat	0
comba-cs	const_mul_32_255	5	.004637	unsat	0
dadda	const_mul_32_255	1	.004656	unsat	0
dadda	const_mul_32_255	2	.004686	unsat	0
dadda	const_mul_32_255	3	.004656	unsat	0
dadda	const_mul_32_255	4	.004634	unsat	0
dadda	const_mul_32_255	5	.004604	unsat	0
booth	const_mul_32_255	1	.004596	unsat	0
booth	const_mul_32_255	2	.004601	unsat	0
booth	const_mul_32_255	3	.004598	unsat	0
booth	const_mul_32_255	4	.004747	unsat	0
booth	const_mul_32_255	5	.004613	unsat	0
block4	const_mul_32_255	1	.004642	unsat	0
block4	const_mul_32_255	2	.004676	unsat	0
